10:46:56 старт: книг 1, номеров ~190
10:49:01   book 93 english 7 кл: номеров 190, скачано новых 190
10:49:01 готово
10:49:07 старт: книг 187, номеров ~48780
10:57:44   book 763 english 1 кл: номеров 697, скачано новых 697
11:00:39   book 771 english 1 кл: номеров 243, скачано новых 243
11:02:24   book 764 english 1 кл: номеров 168, скачано новых 168
11:03:40   book 619 english 1 кл: номеров 126, скачано новых 126
11:04:25   book 652 english 1 кл: номеров 73, скачано новых 73
11:04:57   book 622 english 1 кл: номеров 52, скачано новых 52
